DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: corey34 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             0.831               1.071            -0.240         4.299
RESSURF            0.833               1.066            -0.233         3.282
SOLIN            340.267             340.267             0.000         0.000
AAM            1.405e+26           1.421e+26        -1.655e+24      -999.000
CHI_200            0.006               0.004             0.003         0.296
CLDHGH            29.088              28.976             0.112         1.175
CLDLOW            33.053              33.208            -0.155         1.220
CLDMED            15.945              15.802             0.143         1.007
CLDTOT            51.145              51.151            -0.006         1.219
EKE_850           30.677              30.273             0.404         1.135
EP             6.066e-05           9.257e-05        -3.191e-05         0.278
FLNS              58.998              58.338             0.660         1.414
FLNSC             81.701              80.768             0.933         1.586
FLNT             233.300             234.584            -1.284         2.075
FLNTC            262.382             263.586            -1.204         1.433
FSDS             183.647             182.826             0.821         2.879
FSDSC            246.374             245.579             0.795         1.094
FSNS             158.971             160.107            -1.135         4.909
FSNSC            215.085             216.746            -1.661         6.636
FSNSC_ICE         54.049              55.237            -1.189         4.306
FSNSC_LAND       179.542             179.271             0.271         1.005
FSNT             234.131             235.654            -1.523         4.748
FSNTC            286.423             288.532            -2.109         6.440
ICEAREA           23.515              21.786             1.729         0.049
LHFLX             82.033              83.631            -1.598         4.577
LWCF              29.082              29.002             0.080         1.226
PRECT              2.812               2.868            -0.056         0.282
PRECT_LAND         2.381               2.380             0.001         0.176
PRECT_OCEAN        3.109               3.185            -0.076         0.327
PREH2O            26.382              27.488            -1.107         1.466
PREH2O_OCEAN      30.618              31.904            -1.286         1.703
PSI_200           -0.034              -0.034            -0.000         0.136
PS               985.473             985.581            -0.109         0.438
PSL             1011.163            1011.249            -0.086         0.442
QFLX               2.812               2.868            -0.056         0.145
SHFLX             17.108              17.072             0.036         1.408
SNOWHLND          11.305              11.212             0.093         1.277
SST               20.685              21.279            -0.594         0.702
STRESS_MAG         0.068               0.067             0.001         0.005
SWCF             -52.292             -52.878             0.586         2.996
T_850            282.134             282.717            -0.583         0.646
TGCLDLWP         135.028             136.391            -1.362         7.644
TGCLDIWP          17.201              16.933             0.268         0.846
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           288.031             288.621            -0.590         0.680
TS               288.712             289.308            -0.596         0.706
TS_LAND          283.076             283.584            -0.509         0.586
U_200             15.489              15.650            -0.161         0.999
VT_850             0.164               0.120             0.045         0.408
Z3_500            56.811              56.948            -0.137         0.148
