DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: corey34 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             8.042               8.737            -0.695         6.458
RESSURF            7.342               7.876            -0.534         6.049
SOLIN            350.496             350.496             0.000         0.000
AAM            1.472e+26           1.480e+26        -8.794e+23      -999.000
CHI_200           -0.033              -0.034             0.000         0.361
CLDHGH            28.433              28.437            -0.004         1.730
CLDLOW            32.383              32.527            -0.144         1.545
CLDMED            16.110              16.071             0.038         1.368
CLDTOT            50.271              50.359            -0.088         1.763
EKE_850           27.736              27.407             0.330         1.563
EP             6.272e-03           8.285e-03        -2.013e-03         0.414
FLNS              58.590              57.829             0.761         1.822
FLNSC             81.290              80.230             1.060         1.893
FLNT             230.360             231.572            -1.212         2.610
FLNTC            258.952             260.174            -1.223         1.560
FSDS             191.176             190.001             1.175         4.344
FSDSC            256.643             255.748             0.896         1.512
FSNS             163.257             164.805            -1.548         7.327
FSNSC            221.779             224.289            -2.510         9.689
FSNSC_ICE         30.622              27.518             3.104         3.375
FSNSC_LAND       145.245             145.140             0.105         1.609
FSNT             238.401             240.309            -1.907         7.040
FSNTC            292.739             295.677            -2.938         9.394
ICEAREA           21.816              20.484             1.332         0.046
LHFLX             82.535              84.327            -1.792         5.910
LWCF              28.592              28.603            -0.011         1.781
PRECT              2.820               2.880            -0.061         0.393
PRECT_LAND         2.333               2.345            -0.012         0.287
PRECT_OCEAN        3.149               3.229            -0.079         0.445
PREH2O            24.916              26.095            -1.178         1.704
PREH2O_OCEAN      30.022              31.427            -1.405         1.986
PSI_200           -0.001              -0.001             0.000         0.126
PS               985.329             985.445            -0.116         0.573
PSL             1011.328            1011.425            -0.096         0.570
QFLX               2.826               2.889            -0.063         0.179
SHFLX             14.790              14.773             0.016         1.880
SNOWHLND          12.075              11.984             0.092         1.302
SST               20.690              21.309            -0.619         0.749
STRESS_MAG         0.072               0.071             0.001         0.007
SWCF             -54.338             -55.368             1.030         4.492
T_850            280.466             281.048            -0.582         0.678
TGCLDLWP         135.010             136.864            -1.854        10.300
TGCLDIWP          17.594              17.363             0.231         1.185
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           286.109             286.696            -0.587         0.729
TS               286.741             287.333            -0.592         0.760
TS_LAND          276.393             276.859            -0.466         0.660
U_200             16.275              16.333            -0.058         1.023
VT_850            -0.644              -0.684             0.040         0.676
Z3_500            56.548              56.692            -0.143         0.157
