DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: corey34 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            -9.262              -9.512             0.249         3.255
RESSURF          -10.151             -10.409             0.259         5.417
SOLIN            330.385             330.385             0.000         0.000
AAM            1.194e+26           1.218e+26        -2.457e+24      -999.000
CHI_200            0.034               0.032             0.003         0.524
CLDHGH            30.448              30.282             0.166         1.868
CLDLOW            35.689              35.889            -0.200         1.657
CLDMED            15.944              15.753             0.192         1.445
CLDTOT            54.183              54.168             0.015         1.753
EKE_850           28.229              27.765             0.464         1.504
EP             1.204e-02           1.162e-02         4.244e-04         0.424
FLNS              57.664              57.035             0.629         1.857
FLNSC             80.959              80.072             0.887         1.807
FLNT             236.607             237.878            -1.272         2.827
FLNTC            266.527             267.684            -1.157         1.562
FSDS             171.275             170.696             0.579         3.909
FSDSC            235.354             234.637             0.717         1.169
FSNS             151.055             151.644            -0.589         4.049
FSNSC            208.530             209.311            -0.781         4.224
FSNSC_ICE         44.601              46.538            -1.937         8.406
FSNSC_LAND       215.010             214.531             0.479         1.567
FSNT             227.344             228.367            -1.022         3.897
FSNTC            281.145             282.419            -1.274         4.088
ICEAREA           24.497              22.515             1.982         0.072
LHFLX             84.067              85.561            -1.494         5.727
LWCF              29.921              29.806             0.115         1.929
PRECT              2.873               2.926            -0.053         0.413
PRECT_LAND         2.425               2.408             0.017         0.298
PRECT_OCEAN        3.169               3.245            -0.077         0.469
PREH2O            28.477              29.555            -1.078         1.475
PREH2O_OCEAN      31.313              32.535            -1.222         1.670
PSI_200           -0.074              -0.074            -0.000         0.211
PS               985.678             985.784            -0.106         0.587
PSL             1011.043            1011.127            -0.084         0.616
QFLX               2.885               2.937            -0.052         0.175
SHFLX             19.475              19.457             0.017         2.276
SNOWHLND          10.287              10.205             0.081         1.295
SST               20.406              20.978            -0.572         0.668
STRESS_MAG         0.078               0.077             0.001         0.007
SWCF             -53.801             -54.052             0.252         3.567
T_850            284.080             284.660            -0.580         0.666
TGCLDLWP         141.506             142.427            -0.921        10.961
TGCLDIWP          16.301              16.045             0.256         1.229
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           290.025             290.598            -0.573         0.688
TS               290.709             291.287            -0.577         0.717
TS_LAND          289.805             290.303            -0.498         0.615
U_200             13.311              13.638            -0.327         1.341
VT_850             0.997               0.940             0.057         0.627
Z3_500            57.168              57.300            -0.132         0.152
