DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -24.599             -25.289             0.690         1.374
RESSURF           -9.350              -9.321            -0.030         2.127
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.228              -0.058            -0.170         0.305
CLDHGH            25.165              25.216            -0.052         0.982
CLDLOW            30.304              30.715            -0.411         1.031
CLDMED            15.151              15.084             0.067         0.603
CLDTOT            46.344              46.596            -0.252         1.125
EKE_850           33.482              33.408             0.074         0.864
EP            -1.074e-02          -2.649e-02         1.574e-02         0.117
FLNS              64.777              64.607             0.170         1.231
FLNSC             87.988              87.860             0.128         1.033
FLNT             230.685             231.504            -0.819         1.661
FLNTC            254.473             255.358            -0.885         1.206
FSDS             166.403             165.744             0.658         2.109
FSDSC            219.163             218.792             0.371         0.587
FSNS             137.549             137.412             0.137         1.742
FSNSC            183.061             183.324            -0.263         1.604
FSNSC_ICE         47.031              50.377            -3.347         4.747
FSNSC_LAND       165.250             165.302            -0.053         1.104
FSNT             206.086             206.216            -0.130         1.565
FSNTC            248.078             248.627            -0.549         1.604
ICEAREA           11.538              11.018             0.520         0.034
LHFLX             60.302              60.348            -0.046         1.844
LWCF              23.788              23.853            -0.065         0.924
PRECT              2.066               2.087            -0.021         0.112
PRECT_LAND         1.687               1.686             0.001         0.097
PRECT_OCEAN        2.645               2.685            -0.039         0.131
PREH2O            18.848              19.245            -0.397         0.640
PREH2O_OCEAN      24.963              25.503            -0.540         0.826
PSI_200           -6.619              -6.754             0.135         0.172
PS               976.677             976.969            -0.292         0.467
PSL             1015.580            1015.855            -0.275         0.454
QFLX               2.056               2.060            -0.005         0.057
SHFLX             21.820              21.777             0.043         1.112
SNOWHLND           4.383               4.218             0.164         1.703
SST               18.551              18.793            -0.242         0.331
STRESS_MAG         0.050               0.049             0.000         0.004
SWCF             -41.992             -42.412             0.420         1.708
T_850            279.087             279.453            -0.367         0.436
TGCLDLWP         125.321             127.391            -2.070         6.003
TGCLDIWP          19.264              19.168             0.096         0.629
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.490             283.885            -0.396         0.529
TS               284.035             284.427            -0.392         0.544
TS_LAND          281.239             281.642            -0.402         0.511
U_200             18.252              18.652            -0.400         1.004
VT_850             0.286               0.276             0.010         0.398
Z3_500            56.538              56.641            -0.102         0.117
