DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM          -103.411            -104.265             0.855         1.549
RESSURF          -75.788             -75.905             0.117         6.145
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.392               3.491            -0.099         0.240
CLDHGH            25.828              26.192            -0.364         1.341
CLDLOW            27.071              27.600            -0.529         1.308
CLDMED            17.091              17.034             0.057         1.041
CLDTOT            44.383              44.876            -0.493         1.521
EKE_850           43.299              42.935             0.364         2.098
EP             1.656e-01           1.555e-01         1.011e-02         0.189
FLNS              65.252              65.013             0.239         1.489
FLNSC             88.206              88.132             0.073         1.194
FLNT             212.754             213.503            -0.749         1.751
FLNTC            235.449             236.490            -1.041         1.511
FSDS              91.375              90.995             0.380         1.542
FSDSC            116.703             116.560             0.143         0.357
FSNS              74.482              74.273             0.209         1.690
FSNSC             95.963              96.016            -0.053         1.253
FSNSC_ICE          1.601               1.409             0.192         0.235
FSNSC_LAND        78.093              78.278            -0.185         1.787
FSNT             109.343             109.238             0.105         1.503
FSNTC            130.055             130.234            -0.179         1.195
ICEAREA           13.901              13.504             0.397         0.037
LHFLX             67.810              68.097            -0.287         3.819
LWCF              22.695              22.986            -0.292         1.162
PRECT              2.104               2.128            -0.023         0.181
PRECT_LAND         1.092               1.107            -0.015         0.127
PRECT_OCEAN        3.431               3.458            -0.028         0.235
PREH2O            11.861              12.152            -0.291         0.520
PREH2O_OCEAN      18.824              19.222            -0.399         0.705
PSI_200           -8.102              -8.164             0.062         0.152
PS               977.113             977.501            -0.388         0.772
PSL             1017.349            1017.716            -0.367         0.784
QFLX               2.270               2.283            -0.013         0.120
SHFLX             17.207              17.067             0.140         2.477
SNOWHLND           5.852               5.691             0.160         1.736
SST               16.561              16.796            -0.235         0.331
STRESS_MAG         0.076               0.075             0.000         0.009
SWCF             -20.712             -20.996             0.285         1.176
T_850            271.235             271.625            -0.390         0.546
TGCLDLWP         119.816             122.513            -2.698         8.103
TGCLDIWP          23.647              23.675            -0.027         1.202
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           274.307             274.742            -0.435         0.709
TS               274.793             275.221            -0.427         0.730
TS_LAND          265.881             266.270            -0.389         0.688
U_200             25.408              25.807            -0.399         1.195
VT_850             0.419               0.414             0.005         0.873
Z3_500            55.191              55.312            -0.120         0.152
