DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            52.413              52.029             0.384         2.900
RESSURF           54.693              55.134            -0.440         2.812
SOLIN            445.896             445.896             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.935              -3.744            -0.190         0.489
CLDHGH            25.165              25.122             0.043         1.673
CLDLOW            37.365              37.636            -0.271         1.747
CLDMED            13.400              13.429            -0.029         1.068
CLDTOT            52.246              52.330            -0.084         1.847
EKE_850           19.212              19.391            -0.178         1.047
EP            -2.311e-01          -2.638e-01         3.271e-02         0.250
FLNS              59.712              59.586             0.126         2.196
FLNSC             83.986              83.743             0.244         1.658
FLNT             249.459             250.117            -0.658         2.655
FLNTC            274.610             275.267            -0.657         1.266
FSDS             233.175             232.140             1.035         4.933
FSDSC            320.003             319.501             0.502         1.226
FSNS             197.421             197.340             0.081         3.965
FSNSC            273.137             273.836            -0.699         3.955
FSNSC_ICE        124.982             132.936            -7.954        14.447
FSNSC_LAND       256.934             256.826             0.107         1.629
FSNT             301.872             302.146            -0.274         3.514
FSNTC            370.943             372.016            -1.072         3.870
ICEAREA            9.011               8.465             0.546         0.047
LHFLX             54.998              54.532             0.466         3.240
LWCF              25.151              25.150             0.000         1.663
PRECT              2.156               2.177            -0.021         0.231
PRECT_LAND         2.450               2.431             0.018         0.258
PRECT_OCEAN        1.974               2.033            -0.059         0.215
PREH2O            28.183              28.698            -0.516         0.988
PREH2O_OCEAN      32.507              33.267            -0.760         1.178
PSI_200           -4.338              -4.583             0.245         0.276
PS               975.690             975.991            -0.301         0.524
PSL             1013.290            1013.585            -0.295         0.527
QFLX               1.925               1.914             0.011         0.095
SHFLX             28.017              28.088            -0.071         1.578
SNOWHLND           2.447               2.304             0.143         1.729
SST               20.182              20.433            -0.251         0.349
STRESS_MAG         0.048               0.046             0.002         0.004
SWCF             -69.071             -69.869             0.798         4.121
T_850            288.125             288.436            -0.311         0.432
TGCLDLWP         135.131             136.527            -1.397         9.779
TGCLDIWP          13.954              13.909             0.045         0.936
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           292.789             293.100            -0.311         0.421
TS               293.373             293.682            -0.309         0.429
TS_LAND          296.651             297.012            -0.361         0.503
U_200              9.164               9.603            -0.439         1.167
VT_850             0.122               0.111             0.011         0.575
Z3_500            58.078              58.167            -0.089         0.100
