DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -23.233             -20.945            -2.288         7.075
RESSURF           -4.570              -3.396            -1.174         4.205
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.783               0.625             0.158         0.266
CLDHGH            25.377              25.318             0.058         1.151
CLDLOW            39.462              39.757            -0.295         1.296
CLDMED            15.735              15.553             0.182         0.965
CLDTOT            53.483              53.629            -0.146         1.172
EKE_850           44.479              43.819             0.659         1.427
EP             1.013e-01           1.115e-01        -1.026e-02         0.216
FLNS              60.115              59.168             0.948         1.519
FLNSC             88.922              87.738             1.183         1.750
FLNT             224.807             226.424            -1.617         2.041
FLNTC            249.045             250.744            -1.698         1.793
FSDS             168.339             166.533             1.806         3.460
FSDSC            226.625             225.469             1.155         1.544
FSNS             138.428             142.052            -3.624         7.905
FSNSC            188.630             194.222            -5.592        11.393
FSNSC_ICE         60.872              60.471             0.400         3.773
FSNSC_LAND       129.938             129.712             0.227         0.500
FSNT             201.574             205.479            -3.905         7.675
FSNTC            247.279             253.154            -5.876        11.081
ICEAREA           11.977              10.768             1.209         0.058
LHFLX             70.543              73.925            -3.383         6.732
LWCF              24.239              24.320            -0.081         1.140
PRECT              2.284               2.391            -0.107         0.267
PRECT_LAND         1.663               1.707            -0.044         0.118
PRECT_OCEAN        2.464               2.583            -0.119         0.302
PREH2O            17.139              18.384            -1.245         1.563
PREH2O_OCEAN      19.516              20.835            -1.320         1.746
PSI_200            7.257               7.284            -0.027         0.094
PS               983.590             983.524             0.066         0.556
PSL             1007.308            1007.200             0.108         0.578
QFLX               2.386               2.503            -0.117         0.223
SHFLX             12.341              12.356            -0.015         1.688
SNOWHLND          46.977              46.945             0.032         0.710
SST               14.788              15.643            -0.855         0.938
STRESS_MAG         0.093               0.092             0.001         0.007
SWCF             -45.705             -47.676             1.971         4.105
T_850            276.172             276.986            -0.814         0.848
TGCLDLWP         141.417             144.410            -2.993         8.321
TGCLDIWP          20.454              20.040             0.415         1.062
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.194             282.025            -0.831         0.885
TS               281.728             282.580            -0.853         0.932
TS_LAND          266.531             267.257            -0.726         0.760
U_200             25.518              25.451             0.067         1.114
VT_850            -0.216              -0.211            -0.005         0.462
Z3_500            55.204              55.375            -0.171         0.183
