DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            72.407              76.664            -4.257        10.721
RESSURF           81.342              84.232            -2.890         6.512
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.917              -3.018             0.101         0.333
CLDHGH            20.946              21.138            -0.193         1.514
CLDLOW            42.421              42.599            -0.178         1.763
CLDMED            13.662              13.637             0.025         1.280
CLDTOT            52.923              53.208            -0.286         1.814
EKE_850           29.764              29.521             0.242         1.257
EP            -2.229e-02          -2.139e-02        -8.948e-04         0.326
FLNS              56.214              54.970             1.244         2.107
FLNSC             85.585              83.958             1.627         2.171
FLNT             235.939             237.262            -1.323         2.297
FLNTC            258.339             259.909            -1.569         1.733
FSDS             262.571             259.610             2.960         5.968
FSDSC            356.290             354.527             1.762         2.317
FSNS             211.286             216.407            -5.121        11.952
FSNSC            292.520             300.820            -8.300        16.767
FSNSC_ICE        124.137             122.350             1.787         7.326
FSNSC_LAND       190.709             190.531             0.178         1.262
FSNT             308.346             313.926            -5.579        11.548
FSNTC            380.723             389.473            -8.750        16.290
ICEAREA            7.915               6.980             0.935         0.051
LHFLX             62.890              66.215            -3.325         7.440
LWCF              22.400              22.647            -0.247         1.521
PRECT              2.174               2.290            -0.116         0.318
PRECT_LAND         2.718               2.800            -0.082         0.272
PRECT_OCEAN        2.088               2.215            -0.127         0.339
PREH2O            21.236              22.798            -1.562         1.990
PREH2O_OCEAN      22.965              24.558            -1.593         2.179
PSI_200            6.622               6.599             0.022         0.100
PS               983.762             983.657             0.105         0.572
PSL             1007.066            1006.931             0.135         0.550
QFLX               2.152               2.268            -0.117         0.237
SHFLX             10.839              10.990            -0.150         1.341
SNOWHLND          46.944              46.908             0.036         0.731
SST               16.154              17.071            -0.916         1.024
STRESS_MAG         0.083               0.081             0.003         0.006
SWCF             -72.377             -75.547             3.171         6.715
T_850            279.391             280.206            -0.815         0.869
TGCLDLWP         144.859             147.394            -2.535        10.354
TGCLDIWP          16.670              16.292             0.378         1.139
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.900             285.700            -0.800         0.882
TS               285.384             286.215            -0.831         0.944
TS_LAND          276.125             276.831            -0.706         0.776
U_200             19.686              19.640             0.046         0.916
VT_850            -0.096              -0.101             0.005         0.592
Z3_500            55.925              56.097            -0.171         0.177
