DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM          -110.667            -110.467            -0.200         4.029
RESSURF          -82.721             -83.424             0.702         7.615
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.554               4.363             0.191         0.406
CLDHGH            31.435              31.148             0.286         1.657
CLDLOW            37.741              38.222            -0.481         1.437
CLDMED            17.655              17.382             0.274         1.196
CLDTOT            56.207              56.274            -0.067         1.275
EKE_850           55.878              55.018             0.859         2.128
EP             1.737e-01           1.870e-01        -1.326e-02         0.247
FLNS              62.850              62.082             0.768         1.506
FLNSC             91.971              91.164             0.806         1.745
FLNT             214.502             216.280            -1.778         2.380
FLNTC            241.346             243.086            -1.740         1.947
FSDS              81.599              80.754             0.845         1.922
FSDSC            108.905             108.316             0.589         0.875
FSNS              70.975              72.784            -1.809         4.355
FSNSC             94.411              97.091            -2.680         6.050
FSNSC_ICE          2.561               2.318             0.243         0.316
FSNSC_LAND        77.385              77.170             0.215         0.455
FSNT             103.835             105.813            -1.977         4.277
FSNTC            126.498             129.362            -2.864         5.955
ICEAREA           15.486              14.050             1.436         0.087
LHFLX             77.393              80.690            -3.297         7.596
LWCF              26.844              26.806             0.038         1.465
PRECT              2.430               2.530            -0.100         0.290
PRECT_LAND         0.898               0.919            -0.021         0.125
PRECT_OCEAN        2.858               2.968            -0.109         0.328
PREH2O            13.525              14.497            -0.972         1.234
PREH2O_OCEAN      16.026              17.058            -1.032         1.390
PSI_200            7.264               7.380            -0.116         0.173
PS               983.725             983.642             0.083         0.844
PSL             1007.726            1007.595             0.131         0.904
QFLX               2.604               2.717            -0.114         0.249
SHFLX             13.454              13.436             0.017         3.163
SNOWHLND          46.998              46.968             0.030         0.713
SST               13.268              14.055            -0.788         0.858
STRESS_MAG         0.104               0.104            -0.000         0.010
SWCF             -22.663             -23.549             0.886         2.162
T_850            273.292             274.100            -0.808         0.853
TGCLDLWP         140.537             144.252            -3.715         9.595
TGCLDIWP          23.306              22.872             0.434         1.514
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           278.076             278.906            -0.830         0.930
TS               278.653             279.498            -0.845         0.984
TS_LAND          259.310             259.937            -0.627         0.716
U_200             30.324              30.348            -0.024         1.574
VT_850            -0.369              -0.366            -0.003         0.799
Z3_500            54.595              54.759            -0.164         0.199
