DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: corey34 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            54.034              52.765             1.270         2.931
RESSURF           16.260              15.128             1.132         5.455
SOLIN            413.168             413.168             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.563              -0.562            -0.001         0.470
CLDHGH            38.291              37.760             0.531         2.201
CLDLOW            27.765              27.501             0.264         1.532
CLDMED            17.542              17.509             0.033         1.692
CLDTOT            53.433              52.932             0.501         1.925
EKE_850           11.475              11.088             0.387         1.196
EP            -1.214e-01          -1.065e-01        -1.494e-02         0.606
FLNS              54.404              53.604             0.800         1.818
FLNSC             70.339              68.870             1.469         2.141
FLNT             242.106             243.662            -1.556         3.460
FLNTC            282.506             283.568            -1.062         1.423
FSDS             218.923             218.715             0.208         4.315
FSDSC            296.000             295.216             0.784         1.176
FSNS             203.057             202.829             0.228         4.031
FSNSC            275.573             274.827             0.746         1.077
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       248.691             248.047             0.644         1.448
FSNT             296.140             296.426            -0.287         3.729
FSNTC            365.702             365.656             0.046         0.267
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            116.105             117.869            -1.764         5.903
LWCF              40.400              39.906             0.494         2.406
PRECT              4.149               4.193            -0.044         0.571
PRECT_LAND         4.489               4.444             0.045         0.467
PRECT_OCEAN        4.034               4.106            -0.072         0.600
PREH2O            41.262              42.933            -1.671         2.109
PREH2O_OCEAN      43.285              45.195            -1.910         2.259
PSI_200            1.443               1.525            -0.082         0.121
PS               994.885             994.950            -0.065         0.260
PSL             1009.612            1009.669            -0.057         0.254
QFLX               4.027               4.086            -0.059         0.161
SHFLX             16.288              16.228             0.059         1.641
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.280              27.825            -0.545         0.585
STRESS_MAG         0.059               0.058             0.001         0.006
SWCF             -69.562             -69.230            -0.332         3.771
T_850            289.994             290.543            -0.548         0.580
TGCLDLWP         140.232             140.598            -0.366        12.021
TGCLDIWP          12.584              12.243             0.341         1.212
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.816             299.344            -0.528         0.566
TS               299.737             300.255            -0.518         0.561
TS_LAND          297.354             297.797            -0.443         0.490
U_200              4.022               3.849             0.173         0.938
VT_850            -2.134              -2.239             0.105         0.523
Z3_500            58.483              58.621            -0.139         0.139
