DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: corey34 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            29.542              28.986             0.556         2.686
RESSURF           -2.604              -3.112             0.508         4.721
SOLIN            389.195             389.195             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.504              -0.511             0.006         0.644
CLDHGH            34.644              34.475             0.168         2.211
CLDLOW            32.048              31.904             0.144         1.763
CLDMED            16.759              16.431             0.328         1.913
CLDTOT            54.097              53.905             0.191         2.040
EKE_850           11.009              10.324             0.685         1.116
EP             9.160e-02           1.093e-01        -1.775e-02         0.641
FLNS              50.598              49.615             0.984         1.806
FLNSC             67.246              65.652             1.593         1.997
FLNT             245.643             247.020            -1.377         3.346
FLNTC            283.228             284.304            -1.076         1.392
FSDS             198.405             198.532            -0.127         4.212
FSDSC            276.183             275.130             1.053         1.349
FSNS             183.986             184.037            -0.052         3.815
FSNSC            256.890             255.897             0.993         1.295
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       231.985             230.549             1.436         1.930
FSNT             275.185             276.006            -0.821         3.863
FSNTC            344.485             344.404             0.081         0.313
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            118.979             120.626            -1.647         5.499
LWCF              37.585              37.284             0.301         2.488
PRECT              4.006               4.043            -0.037         0.607
PRECT_LAND         3.471               3.430             0.041         0.429
PRECT_OCEAN        4.167               4.229            -0.062         0.654
PREH2O            43.368              45.098            -1.731         1.996
PREH2O_OCEAN      44.903              46.754            -1.851         2.103
PSI_200           -3.077              -2.950            -0.127         0.167
PS               997.342             997.442            -0.100         0.236
PSL             1012.088            1012.176            -0.089         0.226
QFLX               4.098               4.153            -0.055         0.143
SHFLX             17.012              16.909             0.103         1.761
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.164              27.718            -0.554         0.601
STRESS_MAG         0.072               0.071             0.001         0.005
SWCF             -69.299             -68.397            -0.902         4.052
T_850            290.312             290.926            -0.614         0.645
TGCLDLWP         148.679             146.407             2.272        13.095
TGCLDIWP          11.752              11.462             0.290         1.169
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.997             299.576            -0.579         0.618
TS               299.883             300.461            -0.578         0.628
TS_LAND          298.333             299.009            -0.676         0.727
U_200              0.744               1.257            -0.513         1.249
VT_850             3.065               2.910             0.155         0.476
Z3_500            58.792              58.934            -0.142         0.142
